declencheuse.csv,
ID,Phrase
1,L’enfer c’est définitivement les autres…
2,Dans quel monde on vit !
3,Alors à quoi ça vous sert de douter ?
4,Il n’y a rien qu’une bonne discussion ne puisse résoudre.
5,Une explication fait plus pour l’égalité que mille déclarations de bonnes intentions.
6,Je ne peux pas vivre dans un monde sans lumière.
7,"On ne devrait jamais être arrogant, on ne sait jamais quand la situation va se renverser."
9,Mais la nostalgie n’est pas le sentiment qui produit les meilleurs résultats.
10,Mais qu’est-ce que la sagesse ?
11,Qu’est-ce qui provoque les conflits ?
12,Tu crois que l’humain est un être raisonnable ?
13,Est-ce que c’est vraiment déraisonnable de refuser ?
14,Qu’est devenue la transmission orale ?
15,Qu’est-ce que la vérité ?
